"date","sex","age","race","boro","crimsusp","frisked","searched","hit"
2017-01-20,"MALE","18","WHITE HISPANIC","MANHATTAN","ROBBERY","Y","N","N"
2017-01-19,"MALE","27","BLACK","MANHATTAN","CPW","Y","N","N"
2017-01-22,"MALE","22","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-01-22,"MALE","27","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-01-22,"FEMALE","23","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-01-25,"MALE","51","BLACK HISPANIC","MANHATTAN","CRIMINAL SALE OF CONTROLLED SUBSTANCE","Y","Y","N"
2017-02-01,"MALE","30","BLACK","MANHATTAN","CPW","Y","N","N"
2017-02-11,"FEMALE","24","WHITE","MANHATTAN","CRIMINAL TRESPASS","Y","N","Y"
2017-02-07,"MALE","23","BLACK","MANHATTAN","GRAND LARCENY","N","N","N"
2017-03-03,"MALE","61","BLACK","MANHATTAN","MENACING","Y","Y","N"
2017-03-03,"MALE","36","BLACK","MANHATTAN","ROBBERY","Y","N","N"
2017-03-07,"FEMALE","31","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","Y"
2017-03-08,"MALE","28","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
2017-03-15,"MALE","22","WHITE HISPANIC","MANHATTAN","MENACING","Y","N","N"
2017-03-23,"MALE","21","BLACK","MANHATTAN","ROBBERY","Y","N","N"
2017-03-25,"MALE","40","BLACK","MANHATTAN","CPW","Y","Y","N"
2017-03-29,"MALE","34","WHITE HISPANIC","MANHATTAN","BURGLARY","Y","Y","Y"
2017-03-29,"FEMALE","28","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-03-30,"FEMALE","(null)","BLACK HISPANIC","MANHATTAN","ROBBERY","N","N","N"
2017-04-06,"FEMALE","33","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-04-06,"MALE","27","WHITE HISPANIC","MANHATTAN","CPW","Y","Y","Y"
2017-04-06,"MALE","24","WHITE HISPANIC","MANHATTAN","CPW","Y","Y","Y"
2017-04-06,"MALE","40","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","N"
2017-04-06,"MALE","53","BLACK","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-04-06,"FEMALE","33","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-04-06,"MALE","63","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-04-06,"MALE","16","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-04-01,"MALE","37","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-04-08,"MALE","59","BLACK","MANHATTAN","ROBBERY","N","N","N"
2017-04-16,"MALE","35","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-04-10,"MALE","28","WHITE HISPANIC","MANHATTAN","ROBBERY","Y","N","N"
2017-05-02,"MALE","40","WHITE HISPANIC","MANHATTAN","CRIMINAL MISCHIEF","N","N","N"
2017-05-03,"FEMALE","25","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-05-10,"MALE","46","WHITE HISPANIC","MANHATTAN","CRIMINAL POSSESSION OF MARIHUANA","N","N","Y"
2017-05-12,"MALE","39","BLACK","MANHATTAN","GRAND LARCENY","Y","Y","Y"
2017-05-14,"FEMALE","27","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-05-14,"MALE","43","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-05-20,"MALE","37","WHITE HISPANIC","MANHATTAN","GRAND LARCENY","Y","N","N"
2017-05-20,"MALE","52","WHITE HISPANIC","MANHATTAN","GRAND LARCENY","Y","N","N"
2017-05-21,"MALE","15","BLACK","MANHATTAN","CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE","Y","N","N"
2017-05-25,"FEMALE","47","(null)","MANHATTAN","GRAND LARCENY AUTO","N","N","N"
2017-03-21,"MALE","25","BLACK","MANHATTAN","ASSAULT","Y","N","Y"
2017-03-21,"FEMALE","19","BLACK","MANHATTAN","ASSAULT","Y","N","Y"
2017-05-31,"MALE","18","WHITE HISPANIC","MANHATTAN","GRAND LARCENY AUTO","Y","N","N"
2017-06-17,"MALE","50","WHITE","MANHATTAN","CRIMINAL TRESPASS","N","N","Y"
2017-05-12,"MALE","23","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-06-17,"MALE","23","BLACK HISPANIC","MANHATTAN","CPW","Y","Y","Y"
2017-06-26,"MALE","47","BLACK","MANHATTAN","CPW","N","N","N"
2017-07-08,"MALE","18","BLACK","MANHATTAN","ASSAULT","N","Y","Y"
2017-07-10,"MALE","30","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-07-10,"MALE","38","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-07-10,"MALE","29","WHITE HISPANIC","MANHATTAN","ASSAULT","N","N","N"
2017-07-13,"MALE","24","BLACK","MANHATTAN","BURGLARY","Y","N","N"
2017-07-27,"MALE","37","WHITE HISPANIC","MANHATTAN","ROBBERY","Y","Y","Y"
2017-07-12,"FEMALE","29","(null)","MANHATTAN","CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE","Y","N","N"
2017-02-09,"MALE","49","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-07-24,"MALE","(null)","WHITE HISPANIC","MANHATTAN","CPW","Y","Y","N"
2017-07-24,"MALE","26","BLACK","MANHATTAN","CPW","Y","N","N"
2017-08-06,"MALE","35","WHITE","MANHATTAN","BURGLARY","N","N","N"
2017-08-07,"MALE","24","BLACK","MANHATTAN","CRIMINAL TRESPASS","N","Y","Y"
2017-08-04,"MALE","22","WHITE HISPANIC","MANHATTAN","CRIMINAL TRESPASS","N","N","N"
2017-08-12,"MALE","25","BLACK","MANHATTAN","GRAND LARCENY","Y","Y","N"
2017-08-18,"MALE","40","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-08-15,"FEMALE","44","WHITE HISPANIC","MANHATTAN","PETIT LARCENY","Y","N","Y"
2017-08-25,"MALE","28","BLACK","MANHATTAN","ASSAULT","Y","N","N"
2017-08-25,"FEMALE","23","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-08-31,"MALE","44","BLACK","MANHATTAN","ASSAULT","N","N","N"
2017-09-03,"MALE","32","BLACK","MANHATTAN","OTHER","Y","Y","Y"
2017-09-08,"MALE","29","BLACK","MANHATTAN","RAPE","Y","Y","Y"
2017-09-08,"MALE","25","BLACK","MANHATTAN","RAPE","Y","Y","Y"
2017-09-13,"MALE","27","BLACK","MANHATTAN","ASSAULT","N","N","Y"
2017-09-13,"MALE","40","BLACK","MANHATTAN","ASSAULT","Y","N","Y"
2017-09-12,"MALE","18","BLACK HISPANIC","MANHATTAN","CRIMINAL TRESPASS","Y","Y","Y"
2017-09-21,"FEMALE","50","BLACK","MANHATTAN","PETIT LARCENY","N","N","N"
2017-10-03,"MALE","16","BLACK","MANHATTAN","CPW","Y","Y","Y"
2017-10-06,"MALE","32","BLACK","MANHATTAN","BURGLARY","N","N","N"
2017-10-06,"MALE","29","BLACK","MANHATTAN","BURGLARY","N","N","N"
2017-10-06,"MALE","25","WHITE HISPANIC","MANHATTAN","BURGLARY","N","N","N"
